# This file contains some sample data that can be fed into our aligner.
# This file may contain blank lines and comment lines, as long as
# the latter begin with a # symbol followed by a whitespace.
# In this case our data is very small and will be used only as an
# example of the way the program works for new users.
#ʃ é lʲ e s t	t r a n s p a r a n t
# tʲ é lʲ e pʲ e nʲ	tʲ é lʲ e p nʲ a
# tʲ è lʲ e pʲ e rʲ e d á t ʧʲ i k	tʲ è lʲ e pʲ e rʲ e d á t ʧʲ i k a
# tʲ e lʲ e s k ó p	tʲ e lʲ e s k ó p a
# tʲ e lʲ é s n o s tʲ	tʲ e lʲ é s n o s tʲ i
# tʲ e lʲ é s tʲ i x	tʲ e lʲ é s tʲ i x a
# tʲ e lʲ e t á j p	tʲ e lʲ e t á j p a
# tʲ e lʲ e t a j pʲ í s t	tʲ e lʲ e t a j pʲ í s t a
# tʲ è lʲ e u p r a v lʲ é nʲ i j e	tʲ è lʲ e u p r a v lʲ é nʲ i j a
# tʲ e lʲ e f ó n	tʲ e lʲ e f ó n a
# tʲ e lʲ e f o nʲ i zʲ í r o v a nʲ i j e	tʲ e lʲ e f o nʲ i zʲ í r o v a nʲ i j a
# tʲ e lʲ e f o nʲ í s t	tʲ e lʲ e f o nʲ í s t a
# tʲ e lʲ é ʦ	tʲ e lʲ ʦ á
# tʲ è lʲ e ʦ é n t r	tʲ è lʲ e ʦ é n t r a
# tʲ è lʲ e e k r á n	tʲ è lʲ e e k r á n a
# tʲ e l l ú r	tʲ e l l ú r a
# tʲ e l l ú rʲ i j	tʲ e l l ú rʲ i j a
# tʲ é l o	tʲ é l a
# tʲ e l o d vʲ i ʒ é nʲ i j e	tʲ e l o d vʲ i ʒ é nʲ i j a
# tʲ e l ó k	tʲ e l k á
# tʲ e l o rʲ é z	tʲ e l o rʲ é z a
# tʲ e l o s l o ʒ é nʲ i j e	tʲ e l o s l o ʒ é nʲ i j a
# tʲ e l o x r a nʲ í tʲ e lʲ	tʲ e l o x r a nʲ í tʲ e lʲ a
# tʲ é lʲ nʲ i k	tʲ é lʲ nʲ i k a
# tʲ é lʲ fʲ e r	tʲ é lʲ fʲ e r a
# tʲ é lʲ ʦ e	tʲ é lʲ ʦ a
# tʲ é lʲ ʦ e	tʲ é lʲ ʦ a
# tʲ e lʲ á t nʲ i k	tʲ e lʲ á t nʲ i k a
# tʲ e lʲ á t nʲ i k	tʲ e lʲ á t nʲ i k a
# tʲ é m b r	tʲ é m b r a
# tʲ é mʲ e nʲ	tʲ é mʲ e nʲ i
# tʲ é mʲ e ʧʲ k o	tʲ é mʲ e ʧʲ k a
# tʲ e m lʲ á k	tʲ e m lʲ a k á
# tʲ é m nʲ i k	tʲ é m nʲ i k a
# tʲ é m nʲ i k	tʲ é m nʲ i k a
# tʲ e m n o k ó ʒ i j	tʲ e m n o k ó ʒ e g o
# tʲ é m p	tʲ é m p a
# tʲ e m pʲ e r á mʲ e n t	tʲ e m pʲ e r á mʲ e n t a
# tʲ e m pʲ e r á mʲ e n t n o s tʲ	tʲ e m pʲ e r á mʲ e n t n o s tʲ i
# tʲ é mʲ	tʲ é mʲ i
# tʲ é mʲ a	tʲ é mʲ e nʲ i
# tʲ e n á k lʲ	tʲ e n á k lʲ a
# tʲ e n a r dʲ í t	tʲ e n a r dʲ í t a
# tʲ e n dʲ e n ʦ i ó z n o s tʲ	tʲ e n dʲ e n ʦ i ó z n o s tʲ i
# tʲ è nʲ e v i n ó s lʲ i v o s tʲ	tʲ è nʲ e v i n ó s lʲ i v o s tʲ i
# tʲ e nʲ ó k	tʲ e nʲ k á
# tʲ e nʲ e lʲ ú b	tʲ e nʲ e lʲ ú b a
# tʲ e nʲ e rʲ í f	tʲ e nʲ e rʲ í f a
# tʲ e nʲ ó t nʲ i k	tʲ e nʲ ó t nʲ i k a
