#	This file contains the features of segments that I was able to obtain from Michael Becker.
#	Each feature is represented by a column of numbers and for every segment has the value of either
#	Feature names are collected every time the aligner goes through this file, but not
#	 stored at this time.  Potentially in the future they might be more actively used.
#	The question at this time is whether or not to expand the number of features in question to include
#	 for example, stress, duration of vowels etc.
consonantal	sonorant	continuant	delayed_release	approximant	tap	trill	nasal	voice	spread_gl	constricted_gl	labial	round	labiodental	coronal	anterior	distributed	strident	lateral	dorsal	high	low	front	back	tense	stressed
ɥ	-1	1	1	0	1	-1	-1	-1	1	-1	-1	1	1	-1	-1	0	0	0	-1	1	1	-1	1	-1	1	0
t͡ɕ	1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	1	1	-1	1	1	-1	1	-1	0	0
d͡ʑ	1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	0	1	1	-1	1	1	-1	1	-1	0	0
ɕ	1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	1	1	-1	1	1	-1	1	-1	0	0
ʑ	1	-1	1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	0	1	1	-1	1	1	-1	1	-1	0	0
c	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	1	-1	-1	1	1	-1	1	-1	0	0
ɟ	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	0	1	-1	-1	1	1	-1	1	-1	0	0
ç	1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	1	-1	-1	1	1	-1	1	-1	0	0
ʝ	1	-1	1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	0	1	-1	-1	1	1	-1	1	-1	0	0
ɲ	1	1	-1	0	-1	-1	-1	1	1	-1	-1	-1	-1	-1	1	0	1	-1	-1	1	1	-1	1	-1	0	0
ʎ	1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	0	1	-1	1	1	1	-1	1	-1	0	0
i	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	1	-1	1	-1	1	-1
í	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	1	-1	1	-1	1	1
# the entry below has to do with secondary stress, please check about this with michael
ì	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	1	-1	1	-1	1	1
y	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	0	0	0	-1	1	1	-1	1	-1	1	-1
ɨ	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	1	-1	-1	-1	1	-1
ʉ	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	0	0	0	-1	1	1	-1	-1	-1	1	-1
ɯ	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	1	-1	-1	1	1	-1
u	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	0	0	0	-1	1	1	-1	-1	1	1	-1
ú	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	0	0	0	-1	1	1	-1	-1	1	1	1
ú	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	0	0	0	-1	1	1	-1	-1	1	1	1
# yet another entry for secondary stress... check with michael
ù	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	0	0	0	-1	1	1	-1	-1	1	1	1
ɪ	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	1	-1	1	-1	-1	-1
ʏ	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	0	0	0	-1	1	1	-1	1	-1	-1	-1
ʊ	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	0	0	0	-1	1	1	-1	-1	1	-1	-1
e	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	-1	1	-1	1	-1
é	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	-1	1	-1	1	1
# the below entry is questionable, consult with michael
è	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	-1	1	-1	1	1
ø	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	0	0	0	-1	1	-1	-1	1	-1	1	-1
